rundate,reporting_period,type_of_operations,airline_name,aircraft_km_x1000,no_flights,aircraft_hours,total_passengers_uplifted,seat_km_available_x1000,seat_km_used_x1000,cargo_tonnes_uplifted,total_tonne_km_available_x1000,tot_mail_tonne_km_used_x1000,total_freight_tonne_km_used_x1000,total_passenger_tonne_km_used_x1000
2/18/2022 9:59:06 AM,202112,Passenger,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,42,41,72,807,2153,1326,0,352,0,0,133
2/18/2022 9:59:06 AM,202112,Passenger,ACROPOLIS AVIATION LTD,45,7,58,67,853,426,0,157,0,0,36
2/18/2022 9:59:06 AM,202112,Passenger,AER LINGUS (UK) LTD,667,111,825,13164,171371,80043,8,23893,0,54,7515
2/18/2022 9:59:06 AM,202112,Passenger,AIRTANKER SERVICES LTD,197,33,260,2556,63347,17826,0,8049,0,0,1640
2/18/2022 9:59:06 AM,202112,Passenger,AURIGNY AIR SERVICES,167,789,636,27811,13063,7228,8,1347,0,0,605
2/18/2022 9:59:06 AM,202112,Passenger,BA CITYFLYER LTD,952,1537,2012,75098,93328,47509,0,9333,0,0,4240
2/18/2022 9:59:06 AM,202112,Passenger,BAE SYSTEMS (CORP AIR TVL) LTD,4,12,8,98,182,30,0,17,0,0,3
2/18/2022 9:59:06 AM,202112,Passenger,BLUE ISLANDS LIMITED,125,648,497,20741,8191,4498,2,737,0,0,404
2/18/2022 9:59:06 AM,202112,Passenger,BRITISH AIRWAYS PLC,36087,12155,50997,1535578,8860379,6158978,32458,1507502,5942,219125,604177
2/18/2022 9:59:06 AM,202112,Passenger,CATREUS AOC LTD,147,79,209,148,1574,673,0,465,0,0,67
2/18/2022 9:59:06 AM,202112,Passenger,CONCIERGE U LTD,175,43,223,169,2451,785,0,508,0,0,67
2/18/2022 9:59:06 AM,202112,Passenger,EASTERN AIRWAYS,130,364,333,7637,7102,3139,0,710,0,0,314
2/18/2022 9:59:06 AM,202112,Passenger,EASYJET UK LTD,14884,12875,26273,1229617,2711213,1408681,0,230577,0,0,119783
2/18/2022 9:59:06 AM,202112,Passenger,EXECUTIVE JET CHARTER LTD,24,5,29,14,301,85,0,24,0,0,8
2/18/2022 9:59:06 AM,202112,Passenger,GAMA AVIATION (UK) LTD,21,23,32,70,223,110,0,47,0,0,10
2/18/2022 9:59:06 AM,202112,Passenger,JET2.COM LTD,7773,3240,11820,332308,1476656,848965,0,144376,0,0,72164
2/18/2022 9:59:06 AM,202112,Passenger,JOTA AVIATION LTD,7,24,17,982,426,292,0,67,0,0,24
2/18/2022 9:59:06 AM,202112,Passenger,LOGANAIR LTD,1404,4314,4154,79687,63440,30681,57,6830,3,13,2609
2/18/2022 9:59:06 AM,202112,Passenger,LONDON EXECUTIVE AVIATION LTD,345,146,459,459,4867,1273,0,1418,0,0,127
2/18/2022 9:59:06 AM,202112,Passenger,RVL AVIATION LTD,11,28,28,0,74,23,0,16,0,0,2
2/18/2022 9:59:06 AM,202112,Passenger,RYANAIR UK LTD,832,595,1413,53671,157208,76087,0,17040,0,0,6136
2/18/2022 9:59:06 AM,202112,Passenger,TAG AVIATION (UK) LTD,56,17,70,48,857,177,0,146,0,0,16
2/18/2022 9:59:06 AM,202112,Passenger,TITAN AIRWAYS LTD,362,144,535,14264,75120,43104,32,7002,77,82,3665
2/18/2022 9:59:06 AM,202112,Passenger,TUI AIRWAYS LTD,7787,2230,10771,296483,1854851,1316426,394,244227,0,2978,119202
2/18/2022 9:59:06 AM,202112,Passenger,VIRGIN ATLANTIC AIRWAYS LTD,8681,1333,11103,220309,2443243,1467365,12268,475123,0,84785,137934
2/18/2022 9:59:06 AM,202112,Passenger,VIRGIN ATLANTIC INTERNATIONAL,323,54,418,6989,85807,46951,75,15419,0,501,4413
2/18/2022 9:59:06 AM,202112,Passenger,VOLUXIS LTD,30,32,49,0,259,109,0,21,0,0,10
2/18/2022 9:59:06 AM,202112,Passenger,WIZZ AIR UK LTD,3026,1581,4804,178579,657967,345140,0,64574,0,0,33872
2/18/2022 9:59:06 AM,202112,Cargo,AIRTANKER SERVICES LTD,71,10,96,0,0,0,0,2905,0,558,0
2/18/2022 9:59:06 AM,202112,Cargo,BRITISH AIRWAYS PLC,1586,400,2204,0,0,0,7679,83721,186,44947,0
2/18/2022 9:59:06 AM,202112,Cargo,CARGOLOGICAIR LTD,561,109,731,0,0,0,6064,67102,0,36541,0
2/18/2022 9:59:06 AM,202112,Cargo,DHL AIR LTD,2458,1614,3979,0,0,0,9530,100794,0,53837,0
2/18/2022 9:59:06 AM,202112,Cargo,EUROPEAN CARGO LTD,8,2,12,0,0,0,27,533,0,175,0
2/18/2022 9:59:06 AM,202112,Cargo,JOTA AVIATION LTD,21,20,29,0,0,0,7,230,56,4,0
2/18/2022 9:59:06 AM,202112,Cargo,LOGANAIR LTD,25,90,92,0,0,0,229,176,72,0,0
2/18/2022 9:59:06 AM,202112,Cargo,RVL AVIATION LTD,10,11,24,0,0,0,0,32,0,10,0
2/18/2022 9:59:06 AM,202112,Cargo,TITAN AIRWAYS LTD,523,362,847,0,0,0,4909,24374,420,17303,0
2/18/2022 9:59:06 AM,202112,Cargo,TUI AIRWAYS LTD,304,49,389,0,0,0,0,17476,0,3614,0
2/18/2022 9:59:06 AM,202112,Cargo,VIRGIN ATLANTIC AIRWAYS LTD,1593,270,2062,0,0,0,3530,85341,0,24765,0
2/18/2022 9:59:06 AM,202112,Cargo,WEST ATLANTIC UK LTD,428,958,1086,0,0,0,4551,6844,1441,740,0
